# ID  RA  Dec  zRS  ENVIRONMENT  
29  158.49858  13.357545  0.04755868  4  
407  167.51747  -0.56651676  0.03963303  4  
406  168.23431  -0.90985576  0.03961598  4  
405  168.01972  0.26794183  0.03995889  1  
404  167.68081  1.2277447  0.03771402  1  
403  167.65884  0.89113194  0.02513688  4  
402  167.79204  0.62517505  0.02505315  4  
401  167.17042  0.3917855  0.02531278  4  
400  167.28499  0.70729444  0.03854868  1  
409  167.86325  -0.28913822  0.04114856  4  
408  167.5856  -0.12230395  0.04825342  1  
379  163.0621  -0.95551861  0.04899042  1  
378  161.96128  -0.790182  0.05221032  4  
371  162.3581  -0.56017127  0.05014241  4  
370  159.23906  0.22972839  0.02922444  1  
373  162.63017  -0.79767291  0.03763325  1  
372  162.44008  -0.83892943  0.0378281  1  
375  162.22865  -0.70932096  0.02603709  4  
374  162.20423  -0.98736956  0.02614697  4  
377  162.46552  0.16418646  0.03951909  1  
376  162.35361  -0.42990001  0.0385065  1  
393  164.63169  0.90462837  0.04009909  1  
392  164.57352  1.1418783  0.03987951  1  
88  206.77233  14.6444  0.04275613  1  
89  208.71178  14.136214  0.05101034  1  
397  164.82438  1.1534874  0.03948564  1  
396  164.97371  1.0960023  0.04985098  4  
395  164.13822  0.54568762  0.03828512  4  
394  164.12939  0.55886399  0.03806753  4  
82  205.55326  12.920534  0.04110489  4  
181  151.62786  1.1411449  0.04559894  1  
80  203.92666  13.330908  0.04278259  1  
81  205.62648  12.860405  0.0356552  4  
86  206.06191  13.871473  0.02162695  4  
87  206.25786  13.331248  0.04744174  4  
84  205.35374  13.856  0.0239013  4  
85  205.32074  13.775475  0.04522998  1  
7  150.94507  13.394464  0.04273634  1  
245  153.50979  -0.89166156  0.0448721  4  
244  153.58321  -0.85845158  0.04957389  1  
247  153.64283  -0.83699538  0.04470693  4  
246  153.47269  -0.87664087  0.0467645  4  
241  152.79113  -0.39943123  0.04664793  4  
240  153.16802  -1.0616722  0.04451234  4  
243  152.71324  -0.64513111  0.04348949  4  
242  152.74167  -0.50283064  0.04600343  4  
249  155.26953  0.68242336  0.05409241  1  
248  153.93947  0.27631266  0.04546872  4  
458  195.19277  7.4904556  0.04828223  1  
459  195.67555  8.1645224  0.04883288  4  
450  194.72756  9.3009257  0.0540042  1  
451  194.56968  8.8575768  0.02750339  4  
452  194.60374  9.1183293  0.04592363  4  
453  194.67745  9.217116  0.04546533  1  
454  194.09447  9.3104412  0.05361719  1  
455  194.68901  9.1524996  0.0462953  4  
456  194.66307  9.2438301  0.04495216  1  
457  194.46178  10.707208  0.03715014  4  
179  150.97825  0.5826932  0.044733  3  
178  151.11289  0.5240058  0.04661307  4  
