# col1   col2        col3           col4         
  1      150.52024   12.443217      0.05366315   
  2      150.39626   12.764981      0.02095617   
  3      150.76561   12.949964      0.03565385   
  4      150.85092   12.957766      0.03518408   
  5      150.89093   12.694514      0.02275996   
  6      150.67464   12.624392      0.05337581   
  7      150.94507   13.394464      0.04273634   
  8      150.87304   13.103323      0.02772479   
  9      150.96902   12.883048      0.05220002   
  10     153.71291   13.338702      0.03915141   
  11     153.87437   13.059055      0.04035212   
  12     154.24554   13.399298      0.03245738   
  13     154.1604    13.852258      0.04822463   
  14     154.36828   12.897772      0.04886701   
  15     154.53419   12.743342      0.04880247   
  16     156.058     12.224918      0.0534972    
  17     155.96871   12.113635      0.04909367   
  18     157.2457    12.450852      0.03224058   
  19     157.22943   12.580006      0.03313473   
  20     157.22509   12.629657      0.03311336   
  21     157.78714   13.097065      0.05476572   
  22     157.05737   12.970843      0.03194307   
  23     159.11531   13.315959      0.03290666   
  24     159.15002   13.312843      0.03283045   
  25     159.10364   13.140859      0.03406547   
  26     159.04708   13.173699      0.03339564   
  27     158.78872   12.667809      0.05496475   
  28     158.45827   12.878355      0.02521339   
  29     158.49858   13.357545      0.04755868   
  30     160.83437   14.325378      0.03229474   
  31     160.82129   13.931561      0.03285506   
  32     160.9613    14.019594      0.03106246   
  33     161.34963   14.612494      0.03764922   
  34     161.08641   14.084471      0.03259145   
  35     161.06023   14.104785      0.03467226   
  36     161.20326   14.230391      0.03264144   
  37     161.02227   14.003279      0.03524906   
  38     161.8339    14.458055      0.0457918    
  39     161.26336   14.080393      0.03390081   
  40     161.21976   14.307479      0.03278109   
  41     161.36694   14.273258      0.03352459   
  42     161.27916   14.313288      0.03736692   
  43     164.40662   14.941084      0.04787067   
  44     163.71981   14.423955      0.03323443   
  45     234.77881   9.2961593      0.04385732   
  46     234.45205   9.3160396      0.03507989   
  47     234.60483   9.6409866      0.05480984   
  48     234.68536   9.6142779      0.04389695   
  49     234.40771   9.3148632      0.03510718   
  50     236.8653    8.3211813      0.0412666    
  51     237.13583   8.5879281      0.01426534   
  52     237.11744   9.5355789      0.03693713   
  53     237.07242   9.3985044      0.04042561   
  54     237.16106   9.817032       0.05111079   
  55     237.09703   9.837839       0.04008262   
