# ID  RA  Dec  zRS  
328  160.6782133  -0.348292184  0.0187341  
329  160.9382409  -0.423249391  0.0391094  
330  162.4215071  0.363097599  0.0386683  
331  162.4774224  0.159077953  0.0389644  
332  162.7165467  0.589277063  0.0391623  
333  162.5949443  0.236391851  0.0394239  
334  162.5257055  0.333251406  0.0403292  
336  162.4952197  0.32230278  0.0389986  
338  163.1191759  1.061449611  0.039029  
345  168.5802003  0.179014951  0.0389127  
346  169.3870648  -0.187503376  0.0403385  
351  170.2000637  0.468571101  0.0241728  
352  171.0382557  0.700566972  0.0260055  
354  171.4941545  0.821497627  0.0492155  
355  172.0683212  0.891327983  0.0398945  
358  216.1382131  1.177316681  0.0387786  
360  216.1924891  1.170883582  0.0394439  
362  217.4243207  0.369021964  0.0537463  
363  217.4341846  0.081278315  0.0546585  
366  216.8813341  -0.922430345  0.0303446  
368  219.5687635  -0.349748026  0.0368981  
369  158.7107514  0.676396599  0.0320346  
370  159.2390341  0.229750592  0.0292244  
372  162.4400757  -0.838954119  0.0378281  
373  162.630147  -0.797703001  0.0376332  
376  162.3536057  -0.429883596  0.0385065  
377  162.4655204  0.164234732  0.0395191  
379  163.0620833  -0.955501958  0.0489904  
381  162.8869645  -1.002885645  0.0373052  
382  162.9005812  -1.087876085  0.038295  
383  162.9100373  -1.126171325  0.0381025  
384  162.7158859  -0.903378296  0.038083  
386  162.4724517  -0.39295795  0.0380725  
387  162.4063318  -0.907113334  0.0383637  
389  162.2894743  -0.908574814  0.0380423  
392  164.5735743  1.141858389  0.0398795  
393  164.6316869  0.904620889  0.0400991  
397  164.8243906  1.153475354  0.0394856  
400  167.2849923  0.707279979  0.0385487  
404  167.6808421  1.227744848  0.037714  
405  168.0196835  0.267972818  0.0399589  
408  167.5856408  -0.12230257  0.0482534  
418  171.4480414  -0.712358533  0.0263045  
420  214.3830918  1.1408644  0.0543164  
422  216.045824  -0.67891005  0.0504737  
435  170.8139936  13.39124556  0.0385303  
438  193.2078087  7.132156553  0.0500429  
440  195.0372321  8.690933881  0.0462685  
441  194.8944203  8.744477753  0.0464191  
442  194.9527054  8.932747334  0.0461593  
443  194.9251493  8.936742819  0.0469067  
444  194.9828482  8.784963774  0.0462283  
445  194.8417992  8.918790479  0.0466013  
446  195.0329742  8.705639953  0.0459641  
447  194.7419098  9.31033029  0.0541161  
448  194.775694  9.354159251  0.0540704  
450  194.727564  9.300917651  0.0540042  
453  194.6774523  9.217112514  0.0454653  
454  194.0944756  9.310431146  0.0536172  
456  194.6630749  9.243823054  0.0449522  
458  195.1927579  7.490448078  0.0482822  
460  195.3717941  7.841608011  0.0454477  
461  195.7916174  7.548588711  0.0487514  
462  195.6806751  7.672174035  0.0491788  
463  195.8816003  7.967971619  0.0465842  
464  195.8977924  7.996851197  0.0463183  
465  195.8213072  7.782148701  0.0445504  
466  195.907648  7.90398496  0.0461022  
467  195.9224324  7.515697555  0.0489157  
470  197.738571  8.627347761  0.0521899  
471  197.9371176  8.751074  0.0510639  
472  198.0173769  8.667204168  0.0505324  
478  199.4564291  7.16729236  0.0498493  
479  199.5264383  7.127233621  0.0502956  
481  199.3422862  6.842144602  0.0517859  
482  199.3256931  7.038906498  0.0527597  
484  199.314573  6.401695134  0.0235383  
485  199.2566847  6.357078458  0.0236115  
486  199.1350288  7.032888089  0.052654  
487  199.1150241  7.035102392  0.0505617  
488  199.1451298  7.120776699  0.0507537  
489  199.1540901  7.08590483  0.0476961  
490  199.1324856  7.000246947  0.0494092  
491  199.1535746  7.015194549  0.0474542  
492  199.2601013  7.166195511  0.0478118  
493  199.1926557  7.219286362  0.050799  
494  199.2180113  7.259741508  0.0506123  
498  171.4377077  14.67657311  0.0340127  
500  174.081251  15.49788156  0.0363849  
