# grpID  RA  Dec  zRS  
383  180.18812794  10.67018712  0.06213732  
390  157.81632372  11.11003706  0.06379356  
391  199.26740272  7.76515023  0.04941272  
392  242.21917077  25.57084861  0.04155915  
394  235.7412731  8.20967759  0.04114927  
395  247.59657546  24.58381542  0.06364313  
399  195.25592819  39.85265041  0.0360833  
400  141.9661803  29.99947299  0.02655917  
403  175.85908586  26.45305097  0.03039491  
404  187.77963115  28.85151488  0.0619705  
405  135.96739153  13.58915617  0.02876568  
408  167.6016666  4.76058738  0.03004458  
410  223.41987809  3.16917083  0.02794153  
429  193.64588318  18.97783462  0.06393519  
437  229.25870371  5.19522803  0.05118414  
440  162.81613677  8.6209793  0.02186128  
442  118.05294242  23.47640671  0.04515749  
444  232.89460163  7.37274103  0.03407647  
445  224.09556524  9.3600112  0.02896233  
446  201.26661716  8.34387936  0.0517071  
449  226.15551932  35.9669289  0.04892808  
453  186.15290952  31.93256472  0.06191411  
458  188.95085995  26.90552277  0.02505455  
460  155.66024379  15.75215992  0.04460319  
473  229.7564461  4.34068498  0.04698989  
474  242.06838257  28.49727319  0.05048753  
480  204.28387603  34.79830705  0.06014038  
482  226.27000863  25.98319304  0.05452312  
483  206.3955016  23.16565601  0.03003454  
484  241.85667439  13.95367599  0.03447468  
485  188.93394502  26.45826149  0.02222664  
496  250.4075169  39.57844475  0.03016991  
499  175.58531673  10.32677308  0.0206861  
502  158.26232641  11.98595106  0.0329043  
